CT_NG,ME_NG,MA_NG,None
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
2.13,2.13,3.18,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.82,1.82,2.23,0.0
1.89,1.89,2.34,0.0
1.89,1.89,2.34,0.0
1.89,1.89,2.34,0.0
1.89,1.89,2.34,0.0
1.89,1.89,2.34,0.0
1.89,1.89,2.34,0.0
1.89,1.89,2.34,0.0
1.89,1.89,2.34,0.0
1.89,1.89,2.34,0.0
1.89,1.89,2.34,0.0
1.89,1.89,2.34,0.0
1.89,1.89,2.34,0.0
1.89,1.89,2.34,0.0
1.89,1.89,2.34,0.0
1.89,1.89,2.34,0.0
1.89,1.89,2.34,0.0
1.89,1.89,2.34,0.0
1.89,1.89,2.34,0.0
1.89,1.89,2.34,0.0
1.89,1.89,2.34,0.0
1.89,1.89,2.34,0.0
1.89,1.89,2.34,0.0
1.89,1.89,2.34,0.0
1.89,1.89,2.34,0.0
1.89,1.89,2.34,0.0
1.89,1.89,2.34,0.0
1.89,1.89,2.34,0.0
1.89,1.89,2.34,0.0
1.89,1.89,2.34,0.0
