MIDAT_conventional_hydroelectric_1,NE_conventional_hydroelectric_1,SE_conventional_hydroelectric_1
0.357514837,0.616378214,0.400697036
0.357857319,0.616601344,0.401210985
0.358274627,0.616778104,0.40169627
0.358643291,0.616974283,0.402144635
0.359007428,0.617169816,0.402690098
0.35938314,0.617380557,0.403175383
0.359725622,0.617570352,0.403623748
0.36014293,0.617765885,0.404137697
0.360509884,0.617932139,0.404586368
0.360859316,0.618181432,0.405133129
0.361226314,0.618371873,0.405618108
0.361577509,0.618537481,0.406066779
0.361951414,0.618749904,0.40657943
0.362337299,0.61897368,0.407064715
0.362725909,0.619133549,0.407574862
0.363092907,0.61934662,0.408059841
0.363442339,0.619542153,0.408508512
0.363818007,0.619735357,0.409022461
0.364203892,0.619942688,0.40950744
0.364577841,0.620138222,0.410017893
0.364944794,0.620304475,0.410501574
0.365294227,0.620544496,0.410986859
0.365661181,0.620732647,0.411464194
0.36605578,0.620898901,0.411949173
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
0.366444433,0.621094434,0.412459626
