Derating_factor_2,Derating_factor_1,Resource,Derating_factor_3
0.0,0.8,WA_landbasedwind_class3_moderate_3,0.0
0.0,0.8,WA_utilitypv_class1_moderate_1,0.0
0.0,0.8,WA_utilitypv_class1_moderate_2,0.0
0.0,0.8,WA_utilitypv_class1_moderate_3,0.0
0.0,0.8,WA_offshorewind_class3_moderate_fixed_1_1,0.0
0.0,0.8,WA_offshorewind_class3_moderate_fixed_0_1,0.0
0.0,0.8,WA_offshorewind_class12_moderate_floating_0_1,0.0
0.9,0.0,CA_naturalgas_combustion_turbine_fframe_moderate_0,0.0
0.95,0.0,CA_utilityscale_battery_storage_lithium_ion_moderate_0,0.0
0.9,0.0,CA_nuclear_nuclear__large_moderate_0,0.0
0.8,0.0,CA_landbasedwind_class3_moderate_1,0.0
0.8,0.0,CA_landbasedwind_class3_moderate_2,0.0
0.8,0.0,CA_landbasedwind_class3_moderate_3,0.0
0.8,0.0,CA_utilitypv_class1_moderate_1,0.0
0.8,0.0,CA_utilitypv_class1_moderate_2,0.0
0.8,0.0,CA_utilitypv_class1_moderate_3,0.0
0.8,0.0,CA_offshorewind_class3_moderate_fixed_1_1,0.0
0.8,0.0,CA_offshorewind_class3_moderate_fixed_0_1,0.0
0.8,0.0,CA_offshorewind_class12_moderate_floating_0_1,0.0
0.9,0.0,CA_naturalgas_combustion_turbine_fframe_moderate_0,0.0
0.95,0.0,CA_utilityscale_battery_storage_lithium_ion_moderate_0,0.0
0.9,0.0,CA_nuclear_nuclear__large_moderate_0,0.0
0.8,0.0,CA_landbasedwind_class3_moderate_1,0.0
0.8,0.0,CA_landbasedwind_class3_moderate_2,0.0
0.8,0.0,CA_landbasedwind_class3_moderate_3,0.0
0.8,0.0,CA_utilitypv_class1_moderate_1,0.0
0.8,0.0,CA_utilitypv_class1_moderate_2,0.0
0.8,0.0,CA_utilitypv_class1_moderate_3,0.0
0.8,0.0,CA_offshorewind_class3_moderate_fixed_1_1,0.0
0.8,0.0,CA_offshorewind_class3_moderate_fixed_0_1,0.0
0.8,0.0,CA_offshorewind_class12_moderate_floating_0_1,0.0
0.0,0.9,NV_naturalgas_combustion_turbine_fframe_moderate_0,0.0
0.0,0.95,NV_utilityscale_battery_storage_lithium_ion_moderate_0,0.0
0.0,0.9,NV_nuclear_nuclear__large_moderate_0,0.0
0.0,0.8,NV_landbasedwind_class3_moderate_1,0.0
0.0,0.8,NV_landbasedwind_class3_moderate_2,0.0
0.0,0.8,NV_landbasedwind_class3_moderate_3,0.0
0.0,0.8,NV_utilitypv_class1_moderate_1,0.0
0.0,0.8,NV_utilitypv_class1_moderate_2,0.0
0.0,0.8,NV_utilitypv_class1_moderate_3,0.0
0.0,0.9,NV_naturalgas_combustion_turbine_fframe_moderate_0,0.0
0.0,0.95,NV_utilityscale_battery_storage_lithium_ion_moderate_0,0.0
0.0,0.9,NV_nuclear_nuclear__large_moderate_0,0.0
0.0,0.8,NV_landbasedwind_class3_moderate_1,0.0
0.0,0.8,NV_landbasedwind_class3_moderate_2,0.0
0.0,0.8,NV_landbasedwind_class3_moderate_3,0.0
0.0,0.8,NV_utilitypv_class1_moderate_1,0.0
0.0,0.8,NV_utilitypv_class1_moderate_2,0.0
0.0,0.8,NV_utilitypv_class1_moderate_3,0.0
0.0,0.9,ID_naturalgas_combustion_turbine_fframe_moderate_0,0.0
0.0,0.95,ID_utilityscale_battery_storage_lithium_ion_moderate_0,0.0
